记录ID,时间,地点,类型,数值,阈值,是否超阈值,严重程度
RK0308,2024-12-28 01:14,开福区,投诉处罚超阈值,366.47,500.0,0,低
RK0309,2024-12-29 05:32,浏阳河航道,船舶AIS关闭,1.84,2.0,0,低
RK0310,2024-12-30 09:50,长张高速,货运车辆偏离路线,4.55,5.0,0,低
RK0311,2024-12-31 14:09,金霞物流园周边,货运车辆超速,117.53,90.0,1,高
RK0312,2025-01-01 18:27,望城区,投诉处罚超阈值,502.55,500.0,1,中
RK0313,2025-01-02 22:45,开福区,投诉处罚超阈值,480.03,500.0,0,低
RK0314,2025-01-04 03:03,湘江长沙段,船舶违规锚泊,1.3,3.0,0,低
RK0315,2025-01-05 07:22,湘江长沙段,船舶超载,5.1,10.0,0,低
RK0316,2025-01-06 11:40,绕城高速,货运车辆偏离路线,3.98,5.0,0,低
RK0317,2025-01-07 15:58,长张高速,货运车辆偏离路线,2.95,5.0,0,低
RK0318,2025-01-08 20:16,岳麓区,投诉处罚超阈值,256.48,500.0,0,低
RK0319,2025-01-10 00:34,湘江长沙段,船舶违规锚泊,3.0,3.0,0,低
RK0320,2025-01-11 04:53,京港澳高速,货运车辆疲劳驾驶,4.05,4.0,1,中
RK0321,2025-01-12 09:11,国道319长沙段,货运车辆疲劳驾驶,2.97,4.0,0,低
RK0322,2025-01-13 13:29,湘江长沙段,船舶违规锚泊,3.1,3.0,1,中
RK0323,2025-01-14 17:47,绕城高速,货运车辆超速,53.54,90.0,0,低
RK0324,2025-01-15 22:06,金霞物流园周边,货运车辆偏离路线,3.27,5.0,0,低
RK0325,2025-01-17 02:24,京港澳高速长沙段,货运车辆超速,120.93,90.0,1,高
RK0326,2025-01-18 06:42,霞凝港水域,船舶违规锚泊,2.55,3.0,0,低
RK0327,2025-01-19 11:00,国道319长沙段,货运车辆疲劳驾驶,2.54,4.0,0,低
RK0328,2025-01-20 15:18,铜官港水域,船舶违规锚泊,1.84,3.0,0,低
RK0329,2025-01-21 19:37,湘江长沙段,船舶违规锚泊,1.84,3.0,0,低
RK0330,2025-01-22 23:55,浏阳河航道,船舶AIS关闭,1.86,2.0,0,低
RK0331,2025-01-24 04:13,开福区,投诉处罚超阈值,726.06,500.0,1,高
RK0332,2025-01-25 08:31,长张高速,货运车辆偏离路线,3.56,5.0,0,低
RK0333,2025-01-26 12:50,绕城高速,货运车辆超速,85.46,90.0,0,低
RK0334,2025-01-27 17:08,京港澳高速长沙段,货运车辆超速,91.2,90.0,1,中
RK0335,2025-01-28 21:26,湘江长沙段,船舶超载,7.79,10.0,0,低
RK0336,2025-01-30 01:44,长韶娄高速,货运车辆疲劳驾驶,6.06,4.0,1,严重
RK0337,2025-01-31 06:02,绕城高速,货运车辆偏离路线,4.96,5.0,0,低
RK0338,2025-02-01 10:21,长沙县,投诉处罚超阈值,219.81,500.0,0,低
RK0339,2025-02-02 14:39,湘江长沙段,船舶AIS关闭,3.45,2.0,1,严重
RK0340,2025-02-03 18:57,湘江长沙段,船舶违规锚泊,1.52,3.0,0,低
RK0341,2025-02-04 23:15,金霞物流园周边,货运车辆偏离路线,1.81,5.0,0,低
RK0342,2025-02-06 03:34,京港澳高速,货运车辆疲劳驾驶,5.99,4.0,1,高
RK0343,2025-02-07 07:52,湘江长沙段,船舶AIS关闭,3.14,2.0,1,严重
RK0344,2025-02-08 12:10,湘江长沙段,船舶超载,15.22,10.0,1,严重
RK0345,2025-02-09 16:28,绕城高速,货运车辆偏离路线,3.38,5.0,0,低
RK0346,2025-02-10 20:46,京港澳高速长沙段,货运车辆超速,66.82,90.0,0,低
RK0347,2025-02-12 01:05,湘江长沙段,船舶AIS关闭,2.28,2.0,1,中
RK0348,2025-02-13 05:23,浏阳河航道,船舶超载,17.82,10.0,1,严重
RK0349,2025-02-14 09:41,金霞物流园周边,货运车辆偏离路线,6.72,5.0,1,高
RK0350,2025-02-15 13:59,湘江长沙段,船舶AIS关闭,0.82,2.0,0,低
RK0351,2025-02-16 18:18,京港澳高速,货运车辆疲劳驾驶,1.54,4.0,0,低
RK0352,2025-02-17 22:36,浏阳河航道,船舶超载,6.16,10.0,0,低
RK0353,2025-02-19 02:54,望城区,投诉处罚超阈值,871.96,500.0,1,严重
RK0354,2025-02-20 07:12,国道319长沙段,货运车辆疲劳驾驶,5.39,4.0,1,高
RK0355,2025-02-21 11:30,湘江长沙段,船舶违规锚泊,2.72,3.0,0,低
RK0356,2025-02-22 15:49,湘江长沙段,船舶AIS关闭,0.89,2.0,0,低
RK0357,2025-02-23 20:07,国道319长沙段,货运车辆疲劳驾驶,3.75,4.0,0,低
RK0358,2025-02-25 00:25,湘江长沙段,船舶违规锚泊,3.46,3.0,1,中
RK0359,2025-02-26 04:43,湘江长沙段,船舶AIS关闭,3.43,2.0,1,严重
RK0360,2025-02-27 09:02,京港澳高速长沙段,货运车辆超速,47.24,90.0,0,低
RK0361,2025-02-28 13:20,绕城高速,货运车辆偏离路线,4.44,5.0,0,低
RK0362,2025-03-01 17:38,京港澳高速,货运车辆疲劳驾驶,5.06,4.0,1,高
RK0363,2025-03-02 21:56,金霞物流园周边,货运车辆超速,53.09,90.0,0,低
RK0364,2025-03-04 02:14,浏阳河航道,船舶AIS关闭,3.54,2.0,1,严重
RK0365,2025-03-05 06:33,湘江长沙段,船舶超载,10.1,10.0,1,中
RK0366,2025-03-06 10:51,绕城高速,货运车辆偏离路线,3.37,5.0,0,低
RK0367,2025-03-07 15:09,湘江长沙段,船舶违规锚泊,3.64,3.0,1,高
RK0368,2025-03-08 19:27,京港澳高速,货运车辆疲劳驾驶,5.02,4.0,1,高
RK0369,2025-03-09 23:46,京港澳高速长沙段,货运车辆超速,132.98,90.0,1,高
RK0370,2025-03-11 04:04,湘江长沙段,船舶违规锚泊,2.65,3.0,0,低
RK0371,2025-03-12 08:22,长张高速,货运车辆超速,72.73,90.0,0,低
RK0372,2025-03-13 12:40,湘江长沙段,船舶AIS关闭,1.33,2.0,0,低
RK0373,2025-03-14 16:58,霞凝港水域,船舶超载,12.66,10.0,1,高
RK0374,2025-03-15 21:17,岳麓区,投诉处罚超阈值,458.75,500.0,0,低
RK0375,2025-03-17 01:35,长韶娄高速,货运车辆疲劳驾驶,6.77,4.0,1,严重
RK0376,2025-03-18 05:53,湘江长沙段,船舶AIS关闭,2.18,2.0,1,中
RK0377,2025-03-19 10:11,绕城高速,货运车辆超速,71.05,90.0,0,低
RK0378,2025-03-20 14:30,长韶娄高速,货运车辆疲劳驾驶,1.24,4.0,0,低
RK0379,2025-03-21 18:48,金霞物流园周边,货运车辆偏离路线,4.87,5.0,0,低
RK0380,2025-03-22 23:06,湘江长沙段,船舶违规锚泊,3.58,3.0,1,中
RK0381,2025-03-24 03:24,长张高速,货运车辆偏离路线,4.48,5.0,0,低
RK0382,2025-03-25 07:42,浏阳河航道,船舶AIS关闭,1.45,2.0,0,低
RK0383,2025-03-26 12:01,霞凝港水域,船舶超载,9.26,10.0,0,低
RK0384,2025-03-27 16:19,湘江长沙段,船舶AIS关闭,0.99,2.0,0,低
RK0385,2025-03-28 20:37,霞凝港水域,船舶违规锚泊,5.2,3.0,1,严重
RK0386,2025-03-30 00:55,湘江长沙段,船舶超载,13.03,10.0,1,高
RK0387,2025-03-31 05:14,湘江长沙段,船舶超载,4.8,10.0,0,低
RK0388,2025-04-01 09:32,长张高速,货运车辆超速,74.36,90.0,0,低
RK0389,2025-04-02 13:50,京港澳高速长沙段,货运车辆超速,115.59,90.0,1,高
RK0390,2025-04-03 18:08,浏阳河航道,船舶超载,9.86,10.0,0,低
RK0391,2025-04-04 22:26,湘江长沙段,船舶违规锚泊,4.69,3.0,1,严重
RK0392,2025-04-06 02:45,湘江长沙段,船舶AIS关闭,1.39,2.0,0,低
RK0393,2025-04-07 07:03,京港澳高速长沙段,货运车辆超速,90.26,90.0,1,中
RK0394,2025-04-08 11:21,湘江长沙段,船舶超载,3.34,10.0,0,低
RK0395,2025-04-09 15:39,绕城高速,货运车辆超速,142.13,90.0,1,严重
RK0396,2025-04-10 19:58,金霞物流园周边,货运车辆超速,74.78,90.0,0,低
RK0397,2025-04-12 00:16,长张高速,货运车辆偏离路线,3.58,5.0,0,低
RK0398,2025-04-13 04:34,绕城高速,货运车辆偏离路线,6.04,5.0,1,高
RK0399,2025-04-14 08:52,湘江长沙段,船舶超载,13.44,10.0,1,高
RK0400,2025-04-15 13:10,铜官港水域,船舶违规锚泊,4.78,3.0,1,严重
RK0401,2025-04-16 17:29,湘江长沙段,船舶违规锚泊,2.15,3.0,0,低
RK0402,2025-04-17 21:47,铜官港水域,船舶违规锚泊,4.01,3.0,1,高
RK0403,2025-04-19 02:05,长韶娄高速,货运车辆疲劳驾驶,3.38,4.0,0,低
RK0404,2025-04-20 06:23,湘江长沙段,船舶AIS关闭,0.82,2.0,0,低
RK0405,2025-04-21 10:42,开福区,投诉处罚超阈值,645.54,500.0,1,高
RK0406,2025-04-22 15:00,霞凝港水域,船舶超载,8.31,10.0,0,低
RK0407,2025-04-23 19:18,金霞物流园周边,货运车辆超速,96.84,90.0,1,中
RK0408,2025-04-24 23:36,长张高速,货运车辆偏离路线,4.2,5.0,0,低
RK0409,2025-04-26 03:54,湘江长沙段,船舶AIS关闭,0.85,2.0,0,低
RK0410,2025-04-27 08:13,长韶娄高速,货运车辆疲劳驾驶,6.88,4.0,1,严重
RK0411,2025-04-28 12:31,长张高速,货运车辆偏离路线,4.39,5.0,0,低
RK0412,2025-04-29 16:49,绕城高速,货运车辆偏离路线,8.86,5.0,1,严重
RK0413,2025-04-30 21:07,京港澳高速长沙段,货运车辆超速,90.86,90.0,1,中
RK0414,2025-05-02 01:26,绕城高速,货运车辆超速,34.82,90.0,0,低
RK0415,2025-05-03 05:44,湘江长沙段,船舶AIS关闭,2.64,2.0,1,高
RK0416,2025-05-04 10:02,霞凝港水域,船舶违规锚泊,4.37,3.0,1,高
RK0417,2025-05-05 14:20,京港澳高速,货运车辆疲劳驾驶,2.6,4.0,0,低
RK0418,2025-05-06 18:38,金霞物流园周边,货运车辆偏离路线,4.72,5.0,0,低
RK0419,2025-05-07 22:57,金霞物流园周边,货运车辆偏离路线,4.95,5.0,0,低
RK0420,2025-05-09 03:15,浏阳河航道,船舶AIS关闭,1.08,2.0,0,低
RK0421,2025-05-10 07:33,霞凝港水域,船舶超载,3.62,10.0,0,低
RK0422,2025-05-11 11:51,长韶娄高速,货运车辆疲劳驾驶,3.67,4.0,0,低
RK0423,2025-05-12 16:10,铜官港水域,船舶违规锚泊,2.56,3.0,0,低
RK0424,2025-05-13 20:28,金霞物流园周边,货运车辆偏离路线,5.7,5.0,1,中
RK0425,2025-05-15 00:46,霞凝港水域,船舶违规锚泊,0.92,3.0,0,低
RK0426,2025-05-16 05:04,湘江长沙段,船舶AIS关闭,1.54,2.0,0,低
RK0427,2025-05-17 09:22,绕城高速,货运车辆偏离路线,4.55,5.0,0,低
RK0428,2025-05-18 13:41,浏阳河航道,船舶AIS关闭,1.16,2.0,0,低
RK0429,2025-05-19 17:59,国道319长沙段,货运车辆疲劳驾驶,3.59,4.0,0,低
RK0430,2025-05-20 22:17,京港澳高速,货运车辆疲劳驾驶,1.4,4.0,0,低
RK0431,2025-05-22 02:35,湘江长沙段,船舶违规锚泊,2.74,3.0,0,低
RK0432,2025-05-23 06:54,京港澳高速长沙段,货运车辆超速,142.58,90.0,1,严重
RK0433,2025-05-24 11:12,湘江长沙段,船舶AIS关闭,2.07,2.0,1,中
RK0434,2025-05-25 15:30,绕城高速,货运车辆超速,131.45,90.0,1,高
RK0435,2025-05-26 19:48,长韶娄高速,货运车辆疲劳驾驶,2.85,4.0,0,低
RK0436,2025-05-28 00:06,长韶娄高速,货运车辆疲劳驾驶,2.03,4.0,0,低
RK0437,2025-05-29 04:25,浏阳河航道,船舶AIS关闭,1.49,2.0,0,低
RK0438,2025-05-30 08:43,湘江长沙段,船舶违规锚泊,1.86,3.0,0,低
RK0439,2025-05-31 13:01,金霞物流园周边,货运车辆偏离路线,3.82,5.0,0,低
RK0440,2025-06-01 17:19,绕城高速,货运车辆偏离路线,1.96,5.0,0,低
RK0441,2025-06-02 21:38,开福区,投诉处罚超阈值,683.44,500.0,1,高
RK0442,2025-06-04 01:56,望城区,投诉处罚超阈值,469.73,500.0,0,低
RK0443,2025-06-05 06:14,长韶娄高速,货运车辆疲劳驾驶,6.87,4.0,1,严重
RK0444,2025-06-06 10:32,绕城高速,货运车辆超速,47.31,90.0,0,低
RK0445,2025-06-07 14:50,浏阳河航道,船舶AIS关闭,1.16,2.0,0,低
RK0446,2025-06-08 19:09,湘江长沙段,船舶AIS关闭,1.99,2.0,0,低
RK0447,2025-06-09 23:27,金霞物流园周边,货运车辆超速,115.21,90.0,1,高
RK0448,2025-06-11 03:45,绕城高速,货运车辆偏离路线,3.01,5.0,0,低
RK0449,2025-06-12 08:03,金霞物流园周边,货运车辆偏离路线,3.8,5.0,0,低
RK0450,2025-06-13 12:22,铜官港水域,船舶违规锚泊,5.04,3.0,1,严重
RK0451,2025-06-14 16:40,金霞物流园周边,货运车辆偏离路线,5.58,5.0,1,中
RK0452,2025-06-15 20:58,长沙县,投诉处罚超阈值,265.2,500.0,0,低
RK0453,2025-06-17 01:16,长张高速,货运车辆超速,40.97,90.0,0,低
RK0454,2025-06-18 05:34,浏阳河航道,船舶AIS关闭,1.35,2.0,0,低
RK0455,2025-06-19 09:53,岳麓区,投诉处罚超阈值,855.2,500.0,1,严重
RK0456,2025-06-20 14:11,金霞物流园周边,货运车辆偏离路线,1.83,5.0,0,低
RK0457,2025-06-21 18:29,浏阳河航道,船舶超载,10.64,10.0,1,中
RK0458,2025-06-22 22:47,湘江长沙段,船舶AIS关闭,1.96,2.0,0,低
RK0459,2025-06-24 03:06,长张高速,货运车辆偏离路线,5.1,5.0,1,中
RK0460,2025-06-25 07:24,长张高速,货运车辆偏离路线,1.84,5.0,0,低
RK0461,2025-06-26 11:42,湘江长沙段,船舶违规锚泊,4.02,3.0,1,高
RK0462,2025-06-27 16:00,浏阳河航道,船舶超载,6.98,10.0,0,低
RK0463,2025-06-28 20:18,霞凝港水域,船舶超载,8.25,10.0,0,低
RK0464,2025-06-30 00:37,岳麓区,投诉处罚超阈值,319.42,500.0,0,低
RK0465,2025-07-01 04:55,京港澳高速,货运车辆疲劳驾驶,3.94,4.0,0,低
RK0466,2025-07-02 09:13,长韶娄高速,货运车辆疲劳驾驶,3.12,4.0,0,低
RK0467,2025-07-03 13:31,浏阳河航道,船舶AIS关闭,2.77,2.0,1,高
RK0468,2025-07-04 17:50,霞凝港水域,船舶违规锚泊,2.06,3.0,0,低
RK0469,2025-07-05 22:08,长张高速,货运车辆偏离路线,6.67,5.0,1,高
RK0470,2025-07-07 02:26,长韶娄高速,货运车辆疲劳驾驶,5.15,4.0,1,高
RK0471,2025-07-08 06:44,金霞物流园周边,货运车辆超速,76.4,90.0,0,低
RK0472,2025-07-09 11:03,长张高速,货运车辆偏离路线,1.7,5.0,0,低
RK0473,2025-07-10 15:21,霞凝港水域,船舶违规锚泊,1.56,3.0,0,低
RK0474,2025-07-11 19:39,长张高速,货运车辆超速,57.97,90.0,0,低
RK0475,2025-07-12 23:57,湘江长沙段,船舶AIS关闭,3.44,2.0,1,严重
RK0476,2025-07-14 04:15,长沙县,投诉处罚超阈值,454.72,500.0,0,低
RK0477,2025-07-15 08:34,湘江长沙段,船舶AIS关闭,2.42,2.0,1,高
RK0478,2025-07-16 12:52,国道319长沙段,货运车辆疲劳驾驶,3.15,4.0,0,低
RK0479,2025-07-17 17:10,长沙县,投诉处罚超阈值,290.0,500.0,0,低
RK0480,2025-07-18 21:28,京港澳高速,货运车辆疲劳驾驶,2.44,4.0,0,低
RK0481,2025-07-20 01:47,岳麓区,投诉处罚超阈值,442.35,500.0,0,低
RK0482,2025-07-21 06:05,湘江长沙段,船舶超载,9.46,10.0,0,低
RK0483,2025-07-22 10:23,长张高速,货运车辆偏离路线,5.25,5.0,1,中
RK0484,2025-07-23 14:41,金霞物流园周边,货运车辆超速,93.5,90.0,1,中
RK0485,2025-07-24 18:59,绕城高速,货运车辆偏离路线,2.73,5.0,0,低
RK0486,2025-07-25 23:18,京港澳高速,货运车辆疲劳驾驶,5.2,4.0,1,高
RK0487,2025-07-27 03:36,绕城高速,货运车辆超速,129.49,90.0,1,高
RK0488,2025-07-28 07:54,湘江长沙段,船舶超载,11.71,10.0,1,中
RK0489,2025-07-29 12:12,长张高速,货运车辆超速,30.12,90.0,0,低
RK0490,2025-07-30 16:31,湘江长沙段,船舶AIS关闭,2.1,2.0,1,中
RK0491,2025-07-31 20:49,绕城高速,货运车辆偏离路线,3.76,5.0,0,低
RK0492,2025-08-02 01:07,望城区,投诉处罚超阈值,344.44,500.0,0,低
RK0493,2025-08-03 05:25,霞凝港水域,船舶超载,8.69,10.0,0,低
RK0494,2025-08-04 09:43,湘江长沙段,船舶AIS关闭,1.2,2.0,0,低
RK0495,2025-08-05 14:02,长韶娄高速,货运车辆疲劳驾驶,1.54,4.0,0,低
RK0496,2025-08-06 18:20,长韶娄高速,货运车辆疲劳驾驶,1.92,4.0,0,低
RK0497,2025-08-07 22:38,霞凝港水域,船舶超载,17.71,10.0,1,严重
RK0498,2025-08-09 02:56,长张高速,货运车辆超速,138.54,90.0,1,严重
RK0499,2025-08-10 07:15,京港澳高速长沙段,货运车辆超速,119.09,90.0,1,高
RK0500,2025-08-11 11:33,湘江长沙段,船舶超载,3.74,10.0,0,低
RK0501,2025-08-12 15:51,浏阳河航道,船舶AIS关闭,0.95,2.0,0,低
RK0502,2025-08-13 20:09,长张高速,货运车辆偏离路线,3.21,5.0,0,低
RK0503,2025-08-15 00:27,铜官港水域,船舶违规锚泊,3.03,3.0,1,中
RK0504,2025-08-16 04:46,京港澳高速长沙段,货运车辆超速,157.66,90.0,1,严重
RK0505,2025-08-17 09:04,金霞物流园周边,货运车辆偏离路线,4.95,5.0,0,低
RK0506,2025-08-18 13:22,湘江长沙段,船舶违规锚泊,2.92,3.0,0,低
RK0507,2025-08-19 17:40,长韶娄高速,货运车辆疲劳驾驶,2.88,4.0,0,低
RK0508,2025-08-20 21:59,霞凝港水域,船舶违规锚泊,2.06,3.0,0,低
RK0509,2025-08-22 02:17,浏阳河航道,船舶超载,14.58,10.0,1,高
RK0510,2025-08-23 06:35,望城区,投诉处罚超阈值,203.8,500.0,0,低
RK0511,2025-08-24 10:53,望城区,投诉处罚超阈值,755.53,500.0,1,严重
RK0512,2025-08-25 15:11,湘江长沙段,船舶超载,3.04,10.0,0,低
RK0513,2025-08-26 19:30,金霞物流园周边,货运车辆偏离路线,2.95,5.0,0,低
RK0514,2025-08-27 23:48,长张高速,货运车辆偏离路线,7.39,5.0,1,高
RK0515,2025-08-29 04:06,开福区,投诉处罚超阈值,459.87,500.0,0,低
RK0516,2025-08-30 08:24,湘江长沙段,船舶AIS关闭,1.65,2.0,0,低
RK0517,2025-08-31 12:43,长张高速,货运车辆超速,58.55,90.0,0,低
RK0518,2025-09-01 17:01,长张高速,货运车辆超速,144.38,90.0,1,严重
RK0519,2025-09-02 21:19,金霞物流园周边,货运车辆偏离路线,1.7,5.0,0,低
RK0520,2025-09-04 01:37,绕城高速,货运车辆偏离路线,7.84,5.0,1,严重
RK0521,2025-09-05 05:55,金霞物流园周边,货运车辆超速,67.0,90.0,0,低
RK0522,2025-09-06 10:14,霞凝港水域,船舶超载,7.19,10.0,0,低
RK0523,2025-09-07 14:32,长张高速,货运车辆超速,83.73,90.0,0,低
RK0524,2025-09-08 18:50,湘江长沙段,船舶违规锚泊,4.4,3.0,1,高
RK0525,2025-09-09 23:08,开福区,投诉处罚超阈值,244.07,500.0,0,低
RK0526,2025-09-11 03:27,绕城高速,货运车辆偏离路线,2.3,5.0,0,低
RK0527,2025-09-12 07:45,铜官港水域,船舶违规锚泊,1.77,3.0,0,低
RK0528,2025-09-13 12:03,浏阳河航道,船舶超载,10.95,10.0,1,中
RK0529,2025-09-14 16:21,金霞物流园周边,货运车辆偏离路线,6.15,5.0,1,高
RK0530,2025-09-15 20:39,金霞物流园周边,货运车辆超速,72.55,90.0,0,低
RK0531,2025-09-17 00:58,湘江长沙段,船舶AIS关闭,3.23,2.0,1,严重
RK0532,2025-09-18 05:16,京港澳高速,货运车辆疲劳驾驶,2.6,4.0,0,低
RK0533,2025-09-19 09:34,绕城高速,货运车辆超速,93.3,90.0,1,中
RK0534,2025-09-20 13:52,浏阳河航道,船舶AIS关闭,0.94,2.0,0,低
RK0535,2025-09-21 18:11,岳麓区,投诉处罚超阈值,435.37,500.0,0,低
RK0536,2025-09-22 22:29,湘江长沙段,船舶违规锚泊,0.96,3.0,0,低
RK0537,2025-09-24 02:47,浏阳河航道,船舶AIS关闭,0.84,2.0,0,低
RK0538,2025-09-25 07:05,湘江长沙段,船舶超载,9.81,10.0,0,低
RK0539,2025-09-26 11:23,金霞物流园周边,货运车辆偏离路线,4.55,5.0,0,低
RK0540,2025-09-27 15:42,国道319长沙段,货运车辆疲劳驾驶,3.44,4.0,0,低
RK0541,2025-09-28 20:00,霞凝港水域,船舶违规锚泊,4.3,3.0,1,高
RK0542,2025-09-30 00:18,湘江长沙段,船舶超载,9.09,10.0,0,低
RK0543,2025-10-01 04:36,长沙县,投诉处罚超阈值,303.68,500.0,0,低
RK0544,2025-10-02 08:55,绕城高速,货运车辆超速,135.73,90.0,1,严重
RK0545,2025-10-03 13:13,长韶娄高速,货运车辆疲劳驾驶,1.69,4.0,0,低
RK0546,2025-10-04 17:31,京港澳高速长沙段,货运车辆超速,87.17,90.0,0,低
RK0547,2025-10-05 21:49,浏阳河航道,船舶AIS关闭,1.53,2.0,0,低
RK0548,2025-10-07 02:07,国道319长沙段,货运车辆疲劳驾驶,3.69,4.0,0,低
RK0549,2025-10-08 06:26,霞凝港水域,船舶超载,8.2,10.0,0,低
RK0550,2025-10-09 10:44,国道319长沙段,货运车辆疲劳驾驶,5.63,4.0,1,高
RK0551,2025-10-10 15:02,长韶娄高速,货运车辆疲劳驾驶,3.95,4.0,0,低
RK0552,2025-10-11 19:20,长韶娄高速,货运车辆疲劳驾驶,5.09,4.0,1,高
RK0553,2025-10-12 23:39,长韶娄高速,货运车辆疲劳驾驶,2.92,4.0,0,低
RK0554,2025-10-14 03:57,湘江长沙段,船舶AIS关闭,1.25,2.0,0,低
RK0555,2025-10-15 08:15,绕城高速,货运车辆偏离路线,3.45,5.0,0,低
RK0556,2025-10-16 12:33,浏阳河航道,船舶AIS关闭,1.9,2.0,0,低
RK0557,2025-10-17 16:51,长韶娄高速,货运车辆疲劳驾驶,3.58,4.0,0,低
RK0558,2025-10-18 21:10,湘江长沙段,船舶超载,7.71,10.0,0,低
RK0559,2025-10-20 01:28,长张高速,货运车辆偏离路线,4.85,5.0,0,低
RK0560,2025-10-21 05:46,湘江长沙段,船舶超载,8.07,10.0,0,低
RK0561,2025-10-22 10:04,浏阳河航道,船舶超载,14.95,10.0,1,高
RK0562,2025-10-23 14:23,霞凝港水域,船舶超载,13.98,10.0,1,高
RK0563,2025-10-24 18:41,望城区,投诉处罚超阈值,345.85,500.0,0,低
RK0564,2025-10-25 22:59,湘江长沙段,船舶AIS关闭,2.86,2.0,1,高
RK0565,2025-10-27 03:17,金霞物流园周边,货运车辆超速,34.57,90.0,0,低
RK0566,2025-10-28 07:35,长张高速,货运车辆超速,52.13,90.0,0,低
RK0567,2025-10-29 11:54,望城区,投诉处罚超阈值,162.79,500.0,0,低
RK0568,2025-10-30 16:12,浏阳河航道,船舶超载,7.92,10.0,0,低
RK0569,2025-10-31 20:30,望城区,投诉处罚超阈值,319.08,500.0,0,低
RK0570,2025-11-02 00:48,国道319长沙段,货运车辆疲劳驾驶,2.45,4.0,0,低
RK0571,2025-11-03 05:07,长张高速,货运车辆偏离路线,3.41,5.0,0,低
RK0572,2025-11-04 09:25,国道319长沙段,货运车辆疲劳驾驶,2.33,4.0,0,低
RK0573,2025-11-05 13:43,国道319长沙段,货运车辆疲劳驾驶,2.27,4.0,0,低
RK0574,2025-11-06 18:01,霞凝港水域,船舶违规锚泊,2.2,3.0,0,低
RK0575,2025-11-07 22:19,浏阳河航道,船舶超载,5.23,10.0,0,低
RK0576,2025-11-09 02:38,长沙县,投诉处罚超阈值,362.35,500.0,0,低
RK0577,2025-11-10 06:56,浏阳河航道,船舶AIS关闭,3.23,2.0,1,严重
RK0578,2025-11-11 11:14,岳麓区,投诉处罚超阈值,509.2,500.0,1,中
RK0579,2025-11-12 15:32,霞凝港水域,船舶违规锚泊,4.56,3.0,1,严重
RK0580,2025-11-13 19:51,绕城高速,货运车辆偏离路线,4.81,5.0,0,低
RK0581,2025-11-15 00:09,浏阳河航道,船舶超载,7.23,10.0,0,低
RK0582,2025-11-16 04:27,岳麓区,投诉处罚超阈值,592.54,500.0,1,中
RK0583,2025-11-17 08:45,国道319长沙段,货运车辆疲劳驾驶,6.06,4.0,1,严重
RK0584,2025-11-18 13:03,长韶娄高速,货运车辆疲劳驾驶,1.75,4.0,0,低
RK0585,2025-11-19 17:22,湘江长沙段,船舶超载,6.9,10.0,0,低
RK0586,2025-11-20 21:40,霞凝港水域,船舶超载,5.33,10.0,0,低
RK0587,2025-11-22 01:58,铜官港水域,船舶违规锚泊,4.24,3.0,1,高
RK0588,2025-11-23 06:16,湘江长沙段,船舶AIS关闭,0.91,2.0,0,低
RK0589,2025-11-24 10:35,长沙县,投诉处罚超阈值,265.45,500.0,0,低
RK0590,2025-11-25 14:53,铜官港水域,船舶违规锚泊,2.26,3.0,0,低
RK0591,2025-11-26 19:11,浏阳河航道,船舶超载,15.81,10.0,1,严重
RK0592,2025-11-27 23:29,铜官港水域,船舶违规锚泊,2.82,3.0,0,低
RK0593,2025-11-29 03:47,绕城高速,货运车辆偏离路线,6.02,5.0,1,高
RK0594,2025-11-30 08:06,湘江长沙段,船舶AIS关闭,1.15,2.0,0,低
RK0595,2025-12-01 12:24,铜官港水域,船舶违规锚泊,1.92,3.0,0,低
RK0596,2025-12-02 16:42,浏阳河航道,船舶超载,4.59,10.0,0,低
RK0597,2025-12-03 21:00,长张高速,货运车辆超速,38.3,90.0,0,低
RK0598,2025-12-05 01:19,金霞物流园周边,货运车辆超速,131.64,90.0,1,高
RK0599,2025-12-06 05:37,岳麓区,投诉处罚超阈值,472.34,500.0,0,低
RK0600,2025-12-07 09:55,京港澳高速,货运车辆疲劳驾驶,1.49,4.0,0,低
RK0601,2025-12-08 14:13,绕城高速,货运车辆超速,95.89,90.0,1,中
RK0602,2025-12-09 18:31,湘江长沙段,船舶AIS关闭,0.71,2.0,0,低
RK0603,2025-12-10 22:50,霞凝港水域,船舶违规锚泊,1.15,3.0,0,低
RK0604,2025-12-12 03:08,金霞物流园周边,货运车辆偏离路线,8.26,5.0,1,严重
RK0605,2025-12-13 07:26,开福区,投诉处罚超阈值,393.78,500.0,0,低
RK0606,2025-12-14 11:44,湘江长沙段,船舶违规锚泊,2.81,3.0,0,低
RK0607,2025-12-15 16:03,湘江长沙段,船舶AIS关闭,0.92,2.0,0,低
RK0608,2025-12-16 20:21,湘江长沙段,船舶超载,4.78,10.0,0,低
RK0609,2025-12-18 00:39,绕城高速,货运车辆超速,156.68,90.0,1,严重
RK0610,2025-12-19 04:57,铜官港水域,船舶违规锚泊,3.79,3.0,1,高
RK0611,2025-12-20 09:15,长韶娄高速,货运车辆疲劳驾驶,2.22,4.0,0,低
RK0612,2025-12-21 13:34,京港澳高速长沙段,货运车辆超速,114.69,90.0,1,高
RK0613,2025-12-22 17:52,浏阳河航道,船舶AIS关闭,1.46,2.0,0,低
RK0614,2025-12-23 22:10,岳麓区,投诉处罚超阈值,670.15,500.0,1,高
